N.B	EH N B
FUGUED	F Y UW G D
SECOND-ROUND	S EH K AH N D R AW N D
DRIPSTONES	D R IH P S T OW N Z
SHLEPPING	SH L EH P AH NG
DOUBLEHEADERS	D AH B AH L HH EH D ER Z
FLOCK-LEADING'S	F L AA K L IY D IH NG Z
FUNKILY	F AH NG K IY L IY
DISEQUILIBRATE	D IH S IH K W IH L AH B R AH T
BONIFIED	B OW N AH F AY D
RADIO-LABEL	R EY D IY OW L EY B AH L
PHOTO-EMULSION	F OW T OW IH M AH L SH AH N
CA-SHOO	K AH SH UW
CRUCIVERBALISTS	K R UW S AH V AH R B AH L AH S T S
TWIDDLER	T W IH D L AH R
NAPRON	N AE P R AH N
TEN-POUND	T EH N P AW N D
SEVEN-OUNCE	S EH V AH N AW N S
TEN-POINT-EIGHT	T EH N P OY N T EY T
SKIRTSHIP	S K ER T SH IH P
DISCOURTSHIP	D IH S K OW R T SH IH P
HURTSHIP	HH ER T SH IH P
WHICH'LL	W IH CH L
DIPLOMATES	D IH P L AH M EY T S
DILUVIA	D AH L UW V IY AH
KERMIT'S	K ER M IH TS
CANTHARIS	K AE N TH EH R IY Z
SLIGHTER	S L AY T ER
GRUMPIEST	G R AH M P AY AH S T
ENGLOOM	EH N G L UW M
BUSH-CLINTON-BUSH-CLINTON'S	B UH SH K L IH N T AH N B UH SH K L IH N T AH N Z
TEMP'ROMANDIBULAR	T EH M P R AH M AE N D IH B Y AH L AH R
ARTICULATENESS	AA R T IH K Y AH L AH T N AH S
TARGETWARD	T AA R G AH T W ER D
TETRACYCLINES	T EH T R AE S AH K L AY N Z
AUREOMYCIN	AO R IY AA M AH S AH N
CATAGLYPHIC	K AH T AE G L AH F AH K
LIGHTLESS	L AY T L AH S
ANALYTE	AE N AH L AY T
COMMONNESS	K AA M AH N AH S
ANASARCOUS	AE N AH S AA R K AH S
QUALIFICATION'S	K W AA L AH F AH K EY SH AH N Z
DISCUBITORY	D IH S Y UW B AH T AO R IY
CONTENTIOUSLY	K AH N T EH N T IY AH S L IY
DEATHDAY	D EH TH D EY
DISENTRANCE	D IH S EH N T R AH N S
LANCE-A-LITTLE	L AE N S EY L IH T AH L
DIASTOLE'S	D AY AE S T AH L IY Z
TOE-CURLING	T OW K ER L IH NG
RE-INVADE	R EY IH N V EY D
DRAPERY-AIDED	D R EY P ER IY EY D IH D
LITHPETH	L IH TH AH TH
COUTHIN	K OW AH TH AH N
ODETH	OW D AH TH
BUTHIN	B AH TH AH N
HOURTH	AW ER TH
DOTHN'T	D UW TH AH N T
POLLENLETH	P AA L EH N L AH TH
PLANTTH	P L AE N T TH
DOTHIN	D UW TH IH N
HIPPOPOTAMIST	HH IH P AH P AA T AH M AH S T
DICHOTOMIST	D AH CH AA T AH M AH S T
FOSSIL-HUNTERS	F AA S AH L HH AH N T ER Z
CAMOUFLAGIC	K AE M AH F L AA ZH IH K
GLINDA	G L IH N D AH
CALDRON	K AE L D R AH N
AGI	AE JH IY
BUDDY-BUDDY	B AH D IY B AH D IY
ANTINATIONAL	AE N T AY N AE SH AH N AH L
BRONCHIOLAR	B R AA NG K IY OW L ER
ADDING'S	AE D IH NG Z
TREKKER	T R EH K ER
ADUMMIM	AH D AH M AH M
ABIKUS	AE B AH K AH S
ELECTRONIC'S	IH L EH K T R AA N IH K S
CHORDEE	K AO R D IY
PHALLOPLASTIC	F AE L AA P L AH S T AH K
GOOD-PAYING	G UH D P EY IH NG
ANTISMOKE	AE N T AY S M OW K
AOR	EY AH R
ZEVON	Z EH V AH N
U2	Y UW T UW
ALTERER	AO L T ER ER
ABEARING	AH B AE ER IH NG
ONE-NIGHTER	W AH N N AY T ER
ANTICHOICER	AE N T AY CH OY S ER
UNLIVELY	AH N L IH V L IY
DOCTORS'LL	D AA K T ER Z L
DRAINPLUG	D R EY N P L AH G
DROP-LEAF	D R AA P L IY F
HEADSHRINKER	HH EH D SH R IH NG K ER
ANTINATURALLY	AE N T AY N AE CH AH R AH L IY
HUCKABEE'S	HH AH K AH B IY Z
ANTI-WEST	AE N T IY W EH S T
BATMAN-OBSESSED	B AE T M AE N AH B S EH S T
ABJUREMENT	AE B UH R M AH N T
ANTIMARKET'S	AE N T AY M AA R K AH T S
CHECKMARK	CH EH K M AA R K
OKEYDOKE	OW K AH D OW K
MUSLIM-TURNED-CHRISTIAN'S	M AH Z L AH M T ER N D K R IH S CH AH N Z
HALF-PENNY	HH AE F P EH N IY
FROLICKSOME	F R AH L IH K S AH M
MIUM	M IY AH M
RIGHT-TO-LIFE	R AY T T UW L AY F
EIGHTY-SIXING	EY T IY S IH K S IH NG
ANTICOMMERCIAL	AE N T AY K AH M ER SH AH L
BINGE-AND-PURGE	B IH N JH AH N D P ER JH
PYTHONIAN	P AH TH OW N IY AH N
ILL-HUMORED	IH L HH Y UW M ER D
WORKWEEK'S	W ER K W IY K S
PURENESS	P Y UH R N AH S
CLITORISM'S	K L IH T AH R AH Z M Z
CLITORAL	K L IH T AH R AH L
BUTYROPHENONE	B Y UW T AH R AA F AH N OW N
CHIROGRAPHICAL	CH AH R AA G R AH F IH S AH L
WINLESS	W IH N L AH S
FREIGHTHOPPING	F R EY T HH AA P IH NG
LOW/MIDDLE	L OW M IH D AH L
VOICE-OVER	V OY S OW V ER
GOOD-OL'-BOY	G UH D OW L B OY
AXTON'S	AE K S T AH N Z
HAND-TURNED	HH AE N D T ER N D
COPYLEFT	K AA P IY L EH F T
ARBITER/SETTER	AA R B AH T ER S EH T ER
ROPED-IN	R OW P T IH N
CHEIROPOMPHOLYX	CH IY R AH P AA M F AH L AH K S
CLUB-HOP	K L AH B HH AA P
FIGURE-EIGHT	F IH G Y ER EY T
CHILIBURGERS	IH CH IH L IY B ER G ER Z
SCHOOLWORK'S	S K UW L W ER K S
MICHIGAN-HATCHED	M IH SH IH G AH N HH AE CH T
CONTAGIOUSLY	K AH N T EY JH AH S L IY
CLOTHES-DRYER	K L OW DH Z D R AY ER
A-B-B-A	EY B IY B IY EY
LAMBSKINS	L AE M S K IH N Z
BRUMMELS	B R AH M AH L Z
BOBLO	B AA B L OW
PIQUING	P IY K IH NG
CONSERVATIVE-LEANING	K AH N S ER V AH T IH V L IY N IH NG
WISDOM-BEREFT	W IH Z D AH M B ER EH F T
STANDIN	S T AE N D IH N
WHITE-BREAD	W AY T B R EH D
BLASPHEMING'S	B L AE S F IY M IH NG Z
HIGH-RATED	HH AY R EY T AH D
CYTOPYGE	S IH T AH P AY JH
BELMONTS	B IH L M AA N T S
BASHERT	B AE SH AH R T
PREDESIGNED	P R IY D IH Z AY N D
COMPLEXIFY	K AH M P L EH K S AH F AY
STIRRERS	S T ER ER Z
CYCLOPHRENIA	S IH K L AH F R IY N Y AH
HENPECKING	HH EH N P EH K IH NG
SCAREDYCAT	S K EH R D IY K AE T
RBIS	R B IH Z
REFUND'S	R IH F AH N D Z
LITTER-INFECTED	L IH T ER IH N F EH K T IH D
RAISING'S	R EY Z IH NG Z
250	T UW F AY V Z IY R OW
CLINGFISH	K L IH NG F IH SH
COLLECTANEA	K AA L EH K T EY N IY AH
DEM'S	D EH M Z
GLANS	G L AE N Z
TOP-TIER	T AA P T IY R
CHIROGYMNASTS	CH IH R AH JH IH M N AH S T S
OBJECTIVITY'S	AA B JH EH K T IH V IH T IY Z
CRACK-BRAINED	K R AE K B R EY N D
DACTYLOSCOPY'S	D AE K T AH L AA S K AA P IY Z
CULICIFUGE	K Y UW L IH S AH F Y UW JH
CYPRIDOPHOBIA	S IH P R AH D AH F OW B IY AH
VD	V IY D
SHOWBOATING	SH OW B OW T IH NG
RACE-BASED	R EY S B EY S T
TERROR'S	T EH R ER Z
DAUERSCHLAF	D AO AH R S L AH F
CONTROVERSIALISTS	K AA N T R AH V ER SH AH L IH S T S
CONDISCIPLES	K AH N D IH S AY P AH L Z
NFL'S	EH N EH F EH L Z
HEADSTANDING/HANDSTANDING	HH EH D S T AE N D IH NG HH AE N D S T AE N D IH NG
SEX-LINKED	S EH K S L IH NG K T
SEVEN-TOP-40-HIT	S EH V AH N T AA P F OW R Z IY R OW HH IH T
CYTOTAXIA	S IH T AH T AE K S IY AH
CYLLOSOMA	S IH L AA S AH M AH
ON-STREET	AA N S T R IY T
A&M	AH M
DISHARMONY-FREE	D IH S HH AA R M AH N IY F R IY
SPLISH-SPLASHED	S P L IH SH S P L AE SH T
WEEKDAY'S	W IY K D EY Z
DENUDATE	D IY N UW D AH T
CONVERSANCY	K AH N V ER S AH N S IY
FIRM-EATING	F ER M IY T IH NG
MENTAL/PHYSICAL	M EH N T AH L F IH Z AH K AH L
CLOSED-HEAD	K L OW Z D HH EH D
CYTOTHESIS	S AH T OW DH AH S AH S
SPITZER'S	S P IH T Z ER Z
COLOBOSIS	K OW L AA B AA S IY Z
CYANOPIA'S	S AY AH N OW P IY AH Z
STABBER'S	S T AE B ER Z
CRAQUELURE	K R AE K W EH L Y AH R
DROWTY	D R OW T IY
EVERGEENS	EH V AH R JH IY N Z
DACRYOHEMORRHEA	D AE K R AY AH HH AH M AO R IY AH
ROCKABILLY'S	R AA K AH B IH L IY Z
GIRL-LESS	G ER L L EH S
DHUDHEEN	D HH AH D HH IY AH N
SHORT-STEMMED	SH AO R T S T EH M D
CAPPELLETTO	K AE P AH L EH T OW
CYTOPIPETTE	S AH T AA P AH P EH T
TAILBACK	T EY L B AE K
TRIL	T R IH L
THEODORIC	TH IY AH D AH R AH K
DRASTIC'S	D R AE S T IH K S
NEVER-DYIN	N EH V ER D AY AH N
NAG-FREE	N AE G F R IY
ANTI-ESTABLISHMENT	AE N T IY IH S T AE B L IH SH M AH N T
DRUBS	D R AH B Z
CARD-CUTTING	K AA R D K AH T IH NG
HUSHING'S	HH AH SH IH NG Z
MOOSERS	M UW Z ER Z
WOOD-CHIPPING	W UH D CH IH P IH NG
TRAINMAN	T R EY N M AE N
NETSURF	N EH T S ER F
DEPRAVEDLY	D IH P R EY V AH D L IY
COUNTERGIRL	K AW N T ER G ER L
DEADASS	D EH D AE S
IN-BOX	IH N B AA K S
PERINEUM	P AH R AH N Y UW M
DEXTROPOSITION	D IH Z T R AA P AH Z IH SH AH N
DEADSVILLE	D IY AE D S V AH L
CELEBRIFICATION	S EH L AH B R AH F AH K EY SH AH N
WARM-UPS	W AO R M AH P S
COOL-DOWN	K UW L D AW N
BENDHEIM	B IH N D HH IY M
DEPURED	D IY P Y UH R D
CLERICALS	K L EH R IH K AH L Z
BIOPSYCHOLOGY	B AY AH S AH K AA L AH JH IY
ACE-HIGH	EY S HH AY
UPROARS	AH P R OW R Z
50-PLUS	F AY V Z IY R OW P L AH S
0100	Z IY R OW W AH N Z IY R OW Z IY R OW
STATE-RUN	S T EY T R AH N
YESIRREE	Y EH S AH R IY IY
DEVOUTFUL	D IH V AW T F AH L
GOD-CENTERED	G AA D S EH N T ER D
BUGABOOS	B AH G AH B UW Z
TMI	T M IY
DEVOON	D IY V UW N
CHAULMOOGRAS	CH AO L M UW G R AH Z
DACTYLOLOGY'S	D AE K T AH L AA L AH JH IY Z
D-E-A-F	D IY IY EY EH F
ROLLIE'S	R OW L IY Z
CRIMPY	K R IH M P IY
TENGMALM'S	T EH N G M AH M Z
DEATHBIRD	D EH TH B ER D
BOOGERMAN'S	B UW JH ER M AH N Z
CONTINGENCY'S	K AH N T IH N JH AH N S IY Z
444	F OW R F OW R F OW R
DEXIES	D AH Z AY Z
HOSER	HH OW Z ER
DETRUDING	D IH T R UW D AH NG
CUMBROUSLY	K AH M B R OW AH S L IY
PRE-9/11	P R IY N AY N W AH N W AH N
PREZ'S	P R EH Z AH Z
NAIF	N EY F
SHIRT-TAIL	SH ER T T EY L
LIKELIHOOD'S	L AY K L IY HH UH D Z
PIEHOLE	P AY HH OW L
COWSILLS	K AW S IH L Z
DIJUDICANT	D IH JH AH D IH S AH N T
MACKINAC	M AE K AH N AH K
BITCHING'S	B IH CH IH NG Z
DESHANNON	D AH SH AE N AH N
ENTRAPS	EH N T R AE P S
CAMPAIGNER-IN-CHIEF	K AE M P EY N ER IH N CH IY F
SENIOR-CITIZEN	S IY N Y ER S IH T AH Z AH N
SUGARCOAT	SH UH G ER K OW T
NATO-LED	N EY T OW L EH D
COME-LATELIES	K AH M L EY T L IY Z
BREASTAURANTS	B R IY S T AH R AH N T S
RECEIVIN	R AH S IY V AH N
BACK-IN-THE-DAY	B AE K IH N DH AH D EY
LETCHA	L EH CH AH
WHAT-IFFING	W AH T IH F IH NG
HALE-BOPP	HH EY L B AA P
ONE-HIT	W AH N HH IH T
MANNEQUIN'S	M AE N AH K IH N Z
MUST-BUY	M AH S T B AY
SCRABBLE-TILE	S K R AE B AH L T AY L
DELEGITIMIZE	D IY L IH JH IH T AH M AY Z
37	TH R IY S EH V AH N
ANTI-INCUMBENCY	AE N T IY IH N K AH M B AH N S IY
CONJUCTION	K AA N JH AH K AH N
RELATIONSHIP-BASED	R IY L EY SH AH N SH IH P B EY S T
AFROS	AE F R AH Z
ACCIDENTALLY'S	AE K S AH D EH N T AH L IY Z
STATE-PENITENTIARY	S T EY T P EH N IH T EH N CH ER IY
WISDOM'S	W IH Z D AH M Z
CUT-AND-DRIED	K AH T AH N D D R AY D
HOW-TO	HH AW T UW
DOWVES	D OW V Z
SPITING	S P AY T IH NG
DISPRISONED	D IH S P R IH Z AH N D
ISN'D	IH Z N D
LOTHARIO'S	L OW TH AA R IY OW Z
CLOCKMAKER	K L AA K M EY K ER
M.O.D	EH M OW D
DIPRIVAN	D IH P R AH V AH N
PRE-OPERATION	P R IY AA P ER EY SH AH N
DEVULGARIZE	D IY V AH L G ER AY Z
BELUGA'S	B IH L UW G AH Z
DELPHINAPTERUS	D IH L F AH N AE P T AH R AH S
LEUCAS	L UW K AH Z
POPCORN'S	P AA P K AO R N Z
WHAT'CHOO	W AA T UW
4-8	F OW R EY T
STRUTTING-TYPE	S T R AH T IH NG T AY P
DRYNURSED	D R AY N ER S T
PRO-ABOLITION	P R OW AE B AH L IH SH AH N
DOCTOR-ASSISTED	D AA K T ER AH S IH S T AH D
BENEFACTRESSES	B AH N AH F AE K T R EH S AH Z
BLANCHE'LL	B L AE NG K AH L
DRESSUP	D R EH S AH P
FINNEGAN'S	F IH N AH G AH N Z
BAD-TEMPEREDLY	B AE D T EH M P ER AH D L IY
ANTISENTIMENTAL	AE N T AY S EH N T AH M EH N T AH L
CONGELATIONIS	K AH N JH EH L EY SH AH N IY Z
OVERBURDENING	OW V ER B ER D AH N IH NG
MONEY-OBSESSED	M AH N IY AH B S EH S T
ANTIMARIJUANA	AE N T AY M AE R AH W AA N AH
ANIMATIVE	AE N AH M AH T IH V
VIVIFIED	V IH V AH F AY D
TILLERS	T IH L ER Z
MORGENSTERN'S	M AO R G IH N S T ER N Z
CULTURE-LESS	K AH L CH ER L EH S
MENCKEN-COINED	M EH NG K AH N K OY N D
DRASTY	D R AE S T IY
AIMLESSNESS	EY M L AH S N AH S
DRUNG	D R AH NG
NARROW...OH	N AE R OW OW
DRAMEDY	D R AE M D IY
O'TOOLE'S	OW T UW L Z
BACK-GATE	B AE K G EY T
KEVY	K IY V IY
MICROMANAGER	M AY K R OW M AE N IH JH ER
PARTYING'S	P AA R T IY IH NG Z
HUSKER	HH AH S K ER
DRUNKENSHIP	D R AH NG K AH N SH IH P
ICEBERG'S	AY S B ER G Z
BIBLIOGRAPHIC	B IH B L IY AH G R AE F IH K
WASHINGTON-BASED	W AA SH IH NG T AH N B EY S T
BLANKETY-BLANKS	B L AE NG K AH T IY B L AE NG K S
ALINSKY	AH L IH N S IY
EX-BEAU	EH K S B OW
PACKRAT	P AE K R AE T
DECLUTTER	D IY K L AH T ER
SKIFFLE	S K IH F AH L
HIT-LADEN	HH IH T L EY D AH N
WHY'M	W IH M
ANTI-TAKEOVER	AE N T IY T EY K OW V ER
PRO-COMPETITION	P R OW K AA M P AH T IH SH AH N
BLIND-SIDING	B L AY N D S AY D IH NG
NOSIRREE	N AA S AH R IY IY
SUNBATHES	S AH N B EY DH Z
COALMINE	K OW L M AY N
TEENY-WEENY	T IY N IY W IY N IY
CEREAL'S	S IH R IY AH L Z
CONFESSIONALISM	K AH N F EH SH AH N AH L IH Z AH M
PRE-POTTY	P R IY P AA T IY
DE-UNDERPANTS	D IY AH N D ER P AE N T S
DEUTEROGENIC	D IY Y AH T EH R AH JH AH N AH K
ANTIRECESSION	AE N T AY R IY S EH SH AH N
ANTI-IDEOLOGICAL	AE N T IY AY D IY AH L AA JH IH K AH L
DRIPLESS	D R IH P L AH S
COMMUNITARIAN	K AA M Y UW N AH T EH R IY AH N
ANTITECHNOLOGICAL	AE N T AY T EH K N AH L AA JH IH K AH L
DOCKAGE	D AA K IH JH
ALSACE-LORRAINE	AE L S AA S L ER EY N
BOOYAH	B UW AY AH
PROUDNESS	P R AW D N AH S
BIGAMOUSLY	B AY G EY M AH S L IY
BENEDICTORY	B EH N AH D IH K T ER IY
CALIBOGUS	K AH L IH B AH G AH S
ACROST	AE K R AH S T
DOOMSTER	D UW M S T ER
92'S	N AY N T UW L EH T AH R EH S
SICKOS	S IH K AA S
CTENOCEPHALIDES	K T AH N AH S EH F AH L AY D Z
TRANSCRIPTASE	T R AE N S R IH P T EY Z
NEWSHOUND	N UW Z HH AW N D
DONIKER	D AH N AY K AH R
DISLIKENED	D IH S L AY K AH N D
CROWN-OF-THE-FIELD	K R AW N AH V DH AH F IY L D
CONNECTIVITY'S	K AH N EH K T IH V IH T IY Z
CRI-DU-CHAT	K R IY D UW CH AE T
DOWN-TURNED	D AW N T ER N D
CONDOMLESS	K AA N D AH M L AH S
MLB	EH M EH L B
DEMONOMANIA-STRESSED	D IY M AA N OW M EY N IY AH S T R EH S T
DISENCHARM	D IH S EH N CH AA R M
THUMPERS	TH AH M P ER Z
JESUS-ENTHUSED	JH IY Z AH S IH N TH UW Z D
BESTSELLERDOM	B EH S T S EH L ER D AH M
AUTOCIDE	AO T AH S AY D
DURELESS	D UH R L AH S
DUMBED-DOWN	D AH M D D AW N
NEA'S	N IY Z
INTUITION'S	IH N T UW IH SH AH N Z
REFRACTS	R IH F R AE K T S
SURFIN	S ER F IH N
RIVINGTONS	R AH V IH N G T AH N Z
TRASHMEN	T R AE SH M EH N
CLASSILY	K L AE S IY L IY
DEPENDENCY-FORMING	D IH P EH N D AH N S IY F AO R M IH NG
CO-MEDIC	K OW M EH D IH K
PREASSIGNED	P R IY AH S AY N D
CANTICOY	K AE N T IH K OW IY
UMP'S	AH M P S
DIURNUS	D AY AH R N AH S
472	F OW R S EH V AH N T UW
DEGLORIED	D IY G L OW R IY D
DISFURNISHMENT	D IH S F ER N IH SH M AH N T
REFURNISHED	R IY F ER N IH SH T
AMY-JOHN	EY M IY JH AA N
EDUMACATION	EH D Y UW M AH S EY SH AH N
SECOND-NATUREDLY	S EH K AH N D N EY CH ER D L IY
EASY-DRINKING	IY Z IY D R IH NG K IH NG
ATTACKWATCH.COM	AH T AE K W AA CH K AA M
BLUESKINS	B L UW S K IH N Z
CYCLOPIA'S	S IH K L OW P IY AH Z
PRIMORDIA	P R AH M AO R D IY AH
CROSS-DAYS	K R AO S D EY Z
DISAUGMENTING	D IH S AO G M EH N T IH NG
38DS	TH R IY EY T D IY EH S
32BS	TH R IY T UW B IY EH S
ALL-ENCOMPASSING	AO L EH N K AH M P AH S IH NG
EDUTAINMENT	EH D Y AH T EY N M AH N T
BREADHEAD	B R EH D HH EH D
DESIROUSNESS	D IH Z AY ER AH S N AH S
MEDDLES	M EH D AH L Z
DESPEEDED	D IY S P IY D IH D
SPOKESMAN'S	S P OW K S M AH N Z
EENSY-WEENSY	IY N Z IY W IY N Z IY
PEE-EW	P IY Y UW
OBSTACLE-STREWN	AA B S T AH K AH L S T R UW N
DEINSTITUTIONALIZED	D IY IH N S T AH T UW SH AH N AH L AY Z D
ABSTENTIA	AE B S T EH N CH IY AH
EX-GAL	EH K S G AE L
PATERNITY'S	P AH T ER N IH T IY Z
BABYDADDY	B EY B IY D AE D IY
CONSEQUENTIALISM'S	K AA N S AH K W EH N CH AH L IH Z AH M Z
BITTERSWEETLY	B IH T ER S W IY T L IY
FAULT-FREE	F AO L T F R IY
RESPIRATIONS	R EH S P AH R EY SH AH N Z
THE...TERM...AG	DH AH T ER M AE G
DREAMBOAT'S	D R IY M B OW T S
ALTERABILITY	AO L T ER AH B IH L AH T EH
AGUE'S	EY G Y UW Z
INFORMALITIES	IH N F AO R M AE L AH T IY Z
BIQUARTERLY	B AY K W AO R T ER L IY
LUNKHEAD	L AH NG K IY D
CLUNKHEAD	K L AH NG K IY D
DELIGHT'S	D IH L AY TS
CASTELLS	K AE S T AH L Z
DECIPHERER	D IY S AY F ER ER
SURE-KNOWS-HIS-BIZ	SH UH R N OW Z HH IH Z B IH Z
CHARTBUSTERS	CH AA R T B AH S T ER Z
Q.T	K Y UW T
SHUT...FOR	SH AH T F AO R
PRIDEFULLY	P R AY D F AH L IY
W-W-WOW	D AH B AH L Y UW D AH B AH L Y UW W AW
S-SOMETHING	EH S S AH M TH IH NG
GOD-AWFULLY	G AA D AA F L IY
ANTI-NEOLOGISTIC	AE N T IY N IY OW L OW JH IH S T IH K
BOBBETTES	B AA B EH T S
LEFT...ON	L EH F T AO N
CHIFFONS	CH IH F AH N Z
TOP-TEN	T AA P T EH N
EPULATION	EH P Y AH L EY SH AH N
GLUTTONY'S	G L AH T AH N IY Z
COULROPHOBIA	K OW AH L R AH F OW B IY AH
TOP-20	T AA P T UW Z IY R OW
SOUNDMAN	S AW N D M AE N
EXCITEMENT'S	IH K S AY T M AH N TS
SUGARDADDY	SH UH G ER D AE D IY
FULL-BOSOMED	F UH L B UH Z AH M D
CHRONOLOGIC	K R AA N AH L AA JH IH K
WEIRD'S	W IH R D Z
BREITBART	B R IY T B AH R T
SIX-WEBSITE	S IH K S W EH B S AY T
BRIGHT-SHINING	B R AY T SH AY N IH NG
HEMORRHAGING'S	HH EH M ER IH JH IH NG Z
EGO-IDEAL	IY G OW AY D IY L
COMPREHENSOR	K AA M P R IH HH EH N S ER
$8	EY T
MINDSET'S	M AY N D S EH TS
80-PLUS	EY T Z IY R OW P L AH S
CHAMBERLAINSHIP	CH EY M B ER L AH N SH IH P
CACKLEBERRIES	K AE K AH L B EH R IY Z
BOOT-LICKING	B UW T L IH K IH NG
BLOTCHILY	B L AA T CH IH L IY IY
OOH-OOH-OOOOH	UW UW UW UW
CHARADES-OBSESSED	SH ER EY D Z AH B S EH S T
ABEY	AH B IY IY
DICTATOR'S	D IH K T EY T ER Z
STARLITERS	S T AA R L IY T ER Z
SPLEENWORT'S	S P L IY N W AH R T S
AUR	AO R
RG	AA R G
GROUPTHINK	G R UW P TH IH NG K
CREATURELY	K R IY CH ER L IY
COOLERATORS	K UW L ER AH T ER Z
PRE-MARRIAGE	P R IY M EH R IH JH
DRINKY-POO	D R IH NG K IY P UW
ACMATIC	AE K M AH T AH K
MCWHIFF	M K W HH IH F
NYMPHO	N IH M F OW
CANDY-LESS	K AE N D IY L EH S
ANTI-U.S.-IVE	AE N T IY Y UW EH S AY V
THORNY-CROWNED	TH AO R N IY K R AW N D
LONG-CAST	L AO NG K AE S T
LOW-GRADE	L OW G R EY D
67	S IH K S EH V AH N
SEE-SAW	S IY S AO
DISCORDFUL	D IH S K AO R D F AH L
JEER'S	JH IH R Z
PEEK-A-BOO	P IY K EY B UW
CHUTIST	SH UW T IH S T
SHOOTIST	SH UW T IH S T
CYMARRON	S AH M AE R AH N
CALLIMORPHA	K AE L AH M AO R F AH
BISECTIONALLY	B AY S EH K SH AH N AH L IY
BIOSOCIALLY	B AY AH S OW S IY AE L IY
REFASHIONING	R IY F AE SH AH N IH NG
CO-BOSS	K OW B AA S
BLISSFULNESS	B L IH S F AH L N AH S
CHICK-FIL-A	CH IH K F IH L EY
ENGOUEMENT	IH N G AW M AH N T
CANAFISTOLAS	K AE N AH F IH S T AH L AH Z
EPHEMEROUS	AH F EH M AH R AH S
BURGHOFF	B AH R AH F
BANANAHEAD	B AH N AE N AH HH EH D
EVERYWOMAN	IY V AH R IY W UH M AH N
WOULDAS	W OW L D AH Z
COULDAS	K OW AH L D AH Z
SHOULDAS	SH OW L D AH Z
LUANN'S	L UW W AH N Z
EROTOGENIC	AH R AA T AH JH AH N AH K
INCOGNITO'S	IH N K AO G N IY T OW Z
TRANSMISSION'S	T R AE N S M IH SH AH N Z
TABLOIDY	T AE B L OY D IY
COBBLESTONED	K AA B AH L S T OW N D
GROOVY'S	G R UW V IY Z
COUCH/FOLD-OUT	K AW CH F OW L D AW T
ALLOTROPIZE	AH L AA T R OW P AY Z
PHYSICAL-PROPERTY	F IH Z IH K AH L P R AA P ER T IY
M.G.'S	EH M JH IY S
UBIQUITY'S	Y UW B IH K W IH T IY Z
BUPROPION	B AH P R OW P IY AH N
FRYABLE	F R AY AH B AH L
EVERETT'S	EH V ER AH TS
OBSCENITY-FREE	AH B S EH N IH T IY F R IY
DYSACOUSIA	D IH S AH K AW ZH IY AH
DETECTER	D IH T EH K T ER
STAREDOWNS	S T EH R D AW N Z
BUH	B UW
EXTRAUGHT	EH K S T R AH AH T
GRACELAND'S	G R EY S L AE N D Z
ACTING/SINGING	AE K T IH NG S IH NG IH NG
DEB'LL	D EH B L
EVULGATED	EH V AH L G EY T AH D
LAWDY	L AO D IY
ANTI-FRACKERS	AE N T IY F R AE K AH R Z
HP	EY CH P
REVVIN	R IH V IH N
FAT-WITTED	F AE T W IH T IH D
FABADA	F AE B AH D AH
STRETCHY	S T R EH CH IY
SINKERS	S IH NG K ER Z
RALPHIE	R AE L F AY
FAVICON'S	F AE V AH K AH N Z
STUFFERS	S T AH F ER Z
BILLERS	B IH L ER Z
CARCOMA	K AA R K OW M AH
SMOOSHIN	S M UW SH AH N
EARWORMS	IH ER W ER M Z
LONG-ASS	L AO NG AE S
BLADDER-FULL	B L AE D ER F UH L
DISPROPORTIONAL	D IH S P R OW P OW R SH AH N AH L
EASEFUL	IY Z F AH L
FAQIR	F AE K AH R
AUTOPEN'S	AO T OW P EH N Z
PRIZEFIGHTING	P R AY Z F AY T IH NG
EPICALLY	EH P IH K AH L IY
ENWOMBED	EH N W UW M D
CLEAR-OFF-THE-CHART	K L IH R AO F DH AH CH AA R T
ICE-CREAM-AND-SODA-LIKE	AY S K R IY M AH N D S OW D AH L AY K
DIWORSIFIED	D AH W AH R S AH F AY D
WASHINGTON-BOUND	W AA SH IH NG T AH N B AW N D
KWAME'S	K W EY M AH Z
BADDISH	B AE D IH SH
HIGH-CAL	HH AY K AE L
FACUNDITY	F AH K AH N D AH T IY
OFF-STRIDE	AO F S T R AY D
ANTEROTIC	AE N T IH R AA T IH K
OBAMACARE	AH B AE M AH K AH R
FAUGH	F AO
PAYDIRT	P EY D ER T
QUITCHER	K W IH CH AH R
EVOY	EH V OW IY
EX-ALPINIST	EH K S AE L P IH N IH S T
ENCUMBERS	EH N K AH M B ER Z
SOMBERTOWN	S AA M B ER T AW N
CHORDETTES	K AO R D EH T S
FATALISTIC'S	F EY T AH L IH S T IH K S
OFF-HAND	AO F HH AE N D
PALLIATION	P AE L IY EY SH AH N
YOU-CAN-EAT	Y UW K AE N IY T
SIXTYISH	S IH K S T IY IH SH
FASTNACHTS	F AE S T N AH CH T S
NATURIST/NUDITY	N EY CH ER IH S T N UW D AH T IY
DVAPARA	D V AE P AH R AH
YUGA	Y UW G AH
YUGA'S	Y UW G AH Z
DISCUTIENT	D IH S K Y UW T IY AH N T
BUCKINGHAMS	B AH K IH NG HH AE M Z
LISTENED-TO	L IH S AH N D T UW
BABY...YOU	B EY B IY Y UW
KNOOOW	N UW OW
DOVELLS	D AA V AH L Z
GRITTY'S	G R IH T IY Z
